Type,Code,Name,Credits,Parents,YearStudy
knowledge,Khối kiến thức chung,;,;,;,0
compulsory,Các học phần bắt buộc,;,21,;,0
subject,PHI1006,Triết học Mác - Lênin,3,;,0
subject,PEC1008,Kinh tế chính trị Mác - Lênin,2,PHI1006,0
subject,PHI1002,Chủ nghĩa xã hội khoa học,2,;,0
subject,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,;,0
subject,POL1001,Tư tưởng Hồ Chí Minh,2,;,0
subject,FLF1107,Tiếng Anh B1,5,;,0
subject,FLF1108,Tiếng Anh B2 (***),5,;,0
knowledge,Khối kiến thức theo lĩnh vực,;,;,;,0
compulsory,Các học phần bắt buộc,;,2,;,0
subject,INM1000,Tin học cơ sở,2,;,0
optional,Các học phần tự chọn,;,5,;,0
subject,HIS1056,Cơ sở văn hóa Việt Nam,3,;,0
subject,GEO1050,Khoa học trái đất và sự sống,3,;,0
subject,THL1057,Nhà nước và pháp luật đại cương,2,;,0
subject,MAT1060,Nhập môn phân tích dữ liệu,2,;,0
subject,PHY1070,Nhập môn Internet kết nối vạn vật,2,;,0
subject,PHY1020,Nhập môn Robotics,3,;,0
knowledge,Khối kiến thức theo khối ngành,;,;,;,0
compulsory,Các học phần bắt buộc,;,26,;,0
subject,MAT1090,Đại số tuyến tính,3,;,0
subject,MAT1091,Giải tích 1,3,;,0
subject,MAT1092,Giải tích 2,3,MAT1091,0
subject,MAT1101,Xác suất thống kê,3,MAT1091,0
subject,PHY1100,Cơ - Nhiệt,3,MAT1091,0
subject,PHY1103,Điện - Quang,3,MAT1091,0
subject,CHE1051,Hóa học đại cương 1,3,;,0
subject,CHE1052,Hóa học đại cương 2,3,;,0
subject,CHE1096,Thực tập hóa học đại cương 2,2,CHE1052,0
optional,Các học phần tự chọn,;,2,;,0
subject,CHE1097E,Anh văn chuyên ngành Toán,2,;,0
subject,CHE1098E,Anh văn chuyên ngành Lý,2,;,0
subject,CHE1099E,Anh văn chuyên ngành Hóa,2,;,0
knowledge,Khối kiến thức theo nhóm ngành,;,;,;,0
compulsory,Các học phần bắt buộc,;,34,;,0
subject,CHE1077,Hóa học vô cơ 1,3,CHE1052,0
subject,CHE1054,Thực tập hóa học vô cơ 1,2,CHE1077,0
subject,CHE1131,Hóa học hữu cơ 1,4,CHE1052,0
subject,CHE1191,Thực tập hóa học hữu cơ 1,2,CHE1131,0
